"filename", "language", "JSON", "Markdown", "JavaScript", "HTML", "Properties", "JSON with Comments", "comment", "blank", "total"
"c:\Users\janis\flutter_projects\renx\renx_backend\models\comment.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 3, 47
"c:\Users\janis\flutter_projects\renx\renx_backend\models\contract.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 2, 29
"c:\Users\janis\flutter_projects\renx\renx_backend\models\country.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\janis\flutter_projects\renx\renx_backend\models\energy_project.js", "JavaScript", 0, 0, 212, 0, 0, 0, 0, 58, 270
"c:\Users\janis\flutter_projects\renx\renx_backend\models\fcm_token.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\janis\flutter_projects\renx\renx_backend\models\feed.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 8, 36
"c:\Users\janis\flutter_projects\renx\renx_backend\models\milestone.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 2, 42
"c:\Users\janis\flutter_projects\renx\renx_backend\models\project.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 5, 47
"c:\Users\janis\flutter_projects\renx\renx_backend\models\task.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 3, 62
"c:\Users\janis\flutter_projects\renx\renx_backend\models\technology.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\janis\flutter_projects\renx\renx_backend\models\token.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\janis\flutter_projects\renx\renx_backend\models\user.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 6, 97
"c:\Users\janis\flutter_projects\renx\renx_backend\models\users_group.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\Users\janis\flutter_projects\renx\renx_backend\package-lock.json", "JSON", 7160, 0, 0, 0, 0, 0, 0, 1, 7161
"c:\Users\janis\flutter_projects\renx\renx_backend\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\janis\flutter_projects\renx\renx_backend\routes\index.js", "JavaScript", 0, 0, 149, 0, 0, 0, 76, 101, 326
"c:\Users\janis\flutter_projects\renx\renx_backend\server.js", "JavaScript", 0, 0, 34, 0, 0, 0, 1, 12, 47
"c:\Users\janis\flutter_projects\renx\renx_backend\views\new_account_email\html.ejs", "HTML", 0, 0, 0, 112, 0, 0, 0, 6, 118
"c:\Users\janis\flutter_projects\renx\renx_backend\views\new_account_email\subject.ejs", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\janis\flutter_projects\renx\renx_backend\views\reset_password_email\html.ejs", "HTML", 0, 0, 0, 92, 0, 0, 0, 5, 97
"c:\Users\janis\flutter_projects\renx\renx_backend\views\reset_password_email\subject.ejs", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\janis\flutter_projects\renx\renx_backend\views\reset_password_page.ejs", "HTML", 0, 0, 0, 118, 0, 0, 3, 11, 132
"Total", "-", 357485, 2, 4341, 324, 8, 32407, 268, 497, 395332
